# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May 16 12:01:31 2018
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Distance to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Distance to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Distance to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Candidate to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Candidate to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Candidate to Stellar Radius Limit Flag
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radeerr1:    Candidate Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Candidate Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Candidate Radius Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_keperr:      Kepler-band Unc. [mag]
# COLUMN st_keplim:      Kepler-band Limit Flag
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_k2err:       Ks-band (2MASS) Unc. [mag]
# COLUMN st_k2lim:       Ks-band (2MASS) Limit Flag
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
659,EPIC 210414957,EPIC 210414957.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,4,1,04h17m18.06s,64.325264,+13d48m17.4s,13.804842,0.96997227,,,0,2457062.192319,,,0,,,,,,,,,,,,,,,,,12.655,,0,10.216,0.018,0
660,EPIC 210414957,EPIC 210414957.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,FALSE POSITIVE,,4,0,04h17m18.06s,64.325264,+13d48m17.4s,13.804842,0.97001600,0.00051400,-0.00051400,0,2457069.949600,0.000480,-0.000490,0,3.300000,1.200000,-0.400000,0,0.06630,0.00300,-0.00500,0,6.290,0.610,-0.610,0,0.87,0.05,-0.05,0,12.655,,0,10.216,0.018,0
661,EPIC 210423938,EPIC 210423938.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,4,1,04h01m29.37s,60.372360,+14d00m00.6s,14.000156,19.86047600,0.00197500,-0.00216500,0,2457072.016090,0.004273,-0.003717,0,34.186841,8.785546,-18.158659,0,0.02742,0.00705,-0.00275,0,2.083,0.539,-0.218,0,0.70,0.02,-0.02,0,12.655,,0,10.272,0.017,0
662,EPIC 210448987,EPIC 210448987.01,K2-81 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,4,0,03h49m56.52s,57.485489,+14d30m07.9s,14.502200,6.10224000,0.00054000,-0.00054000,0,2457070.442500,0.003300,-0.003300,0,,,,,0.02610,0.00200,-0.00200,0,1.820,0.250,-0.250,0,0.63,0.07,-0.07,0,13.927,,0,11.316,0.019,0
663,EPIC 210448987,EPIC 210448987.01,K2-81 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,4,0,03h49m56.52s,57.485489,+14d30m07.9s,14.502200,6.10099028,,,0,2457064.344968,,,0,,,,,,,,,,,,,,,,,13.927,,0,11.316,0.019,0
664,EPIC 210448987,EPIC 210448987.01,K2-81 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,4,1,03h49m56.52s,57.485489,+14d30m07.9s,14.502200,6.10230000,0.00039000,-0.00040000,0,2457070.441000,0.002000,-0.002000,0,19.790000,,,0,0.02900,0.00100,-0.00100,0,1.970,0.120,-0.110,0,,,,,13.927,,0,11.316,0.019,0
665,EPIC 210472483,EPIC 210472483.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,4,1,04h17m08.62s,64.285896,+14d56m11.0s,14.936378,1.14300180,,,0,2457062.307061,,,0,,,,,,,,,,,,,,,,,13.179,,0,10.875,0.019,0
666,EPIC 210483889,EPIC 210483889.01,K2-82 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,Planet refuted by Cabrera et al. 2017,4,1,03h54m03.57s,58.514874,+15d08m13.7s,15.137152,7.19583400,0.00009500,-0.00009500,0,2457069.075980,0.000550,-0.000550,0,,,,,0.13980,0.00310,-0.00310,0,2.600,1.200,-1.200,0,0.17,0.08,-0.08,0,13.519,,0,10.886,0.018,0
667,EPIC 210490365,EPIC 210490365.01,K2-25 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CONFIRMED,,4,1,04h13m05.62s,63.273434,+15d14m51.9s,15.247763,3.48430000,,,0,2457062.584610,,,0,,,,,,,,,,,,,,,,,14.528,,0,10.444,0.019,0
668,EPIC 210508766,EPIC 210508766.02,K2-83 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,4,1,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,9.99744000,0.00062000,-0.00060000,0,2457066.271000,0.002000,-0.002000,0,29.670000,,,0,0.03500,0.00100,-0.00100,0,2.120,0.120,-0.120,0,,,,,13.844,,0,10.765,0.018,0
669,EPIC 210508766,EPIC 210508766.02,K2-83 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,4,0,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,9.99767000,0.00081000,-0.00081000,0,2457066.270300,0.002900,-0.002900,0,,,,,0.03190,0.00180,-0.00180,0,1.483,0.099,-0.099,0,0.42,0.02,-0.02,0,13.844,,0,10.765,0.018,0
670,EPIC 210508766,EPIC 210508766.01,K2-83 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,4,0,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,2.74697000,0.00018000,-0.00018000,0,2457067.063300,0.002400,-0.002400,0,,,,,0.02680,0.00190,-0.00190,0,1.244,0.098,-0.098,0,0.42,0.02,-0.02,0,13.844,,0,10.765,0.018,0
671,EPIC 210508766,EPIC 210508766.01,K2-83 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,4,1,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,2.74723000,0.00013000,-0.00013000,0,2457067.060000,0.002000,-0.002000,0,12.620000,,,0,0.02900,0.00100,-0.00100,0,1.710,0.100,-0.100,0,,,,,13.844,,0,10.765,0.018,0
672,EPIC 210508766,EPIC 210508766.02,K2-83 c,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,4,0,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,10.00102551,,,0,2457066.266380,,,0,,,,,,,,,,,,,,,,,13.844,,0,10.765,0.018,0
673,EPIC 210512842,EPIC 210512842.01,K2-173 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,4,0,04h01m29.99s,60.374950,+15d37m30.1s,15.625037,5.86639571,,,0,2457067.152409,,,0,,,,,,,,,,,,,,,,,12.106,,0,10.299,0.017,0
674,EPIC 210512842,EPIC 210512842.01,K2-173 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,4,1,04h01m29.99s,60.374950,+15d37m30.1s,15.625037,5.86869900,0.00044600,-0.00040800,0,2457067.141130,0.002928,-0.002751,0,12.982789,1.759371,-3.918744,0,0.01749,0.00125,-0.00081,0,1.608,0.160,-0.105,0,0.84,0.06,-0.04,0,12.106,,0,10.299,0.017,0
675,EPIC 210513446,EPIC 210513446.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,4,1,03h52m04.45s,58.018524,+15d38m07.0s,15.635284,1.14907861,,,0,2457062.419156,,,0,,,,,,,,,,,,,,,,,13.618,,0,11.191,0.021,0
676,EPIC 210513446,EPIC 210513446.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,4,0,03h52m04.45s,58.018524,+15d38m07.0s,15.635284,1.14898330,0.00000890,-0.00000890,0,2457065.867840,0.000290,-0.000290,0,,,,,0.36000,0.17000,-0.17000,0,76.000,73.000,-73.000,0,2.00,1.60,-1.60,0,13.618,,0,11.191,0.021,0
677,EPIC 210550063,EPIC 210550063.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,4,1,04h04m31.66s,61.131908,+16d13m00.1s,16.216694,2.16594452,,,0,2457062.815716,,,0,,,,,,,,,,,,,,,,,11.147,,0,9.626,0.018,0
678,EPIC 210558622,EPIC 210558622.01,K2-174 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,4,1,04h03m10.28s,60.792843,+16d20m50.8s,16.347446,19.56274300,0.00075500,-0.00072600,0,2457064.216060,0.001133,-0.001186,0,23.488220,2.238887,-4.241580,0,0.03575,0.00225,-0.00094,0,2.492,0.176,-0.098,0,0.64,0.02,-0.02,0,12.034,,0,9.496,0.017,0
679,EPIC 210558622,EPIC 210558622.01,K2-174 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,4,0,04h03m10.28s,60.792843,+16d20m50.8s,16.347446,19.56325000,0.00264000,-0.00242000,0,2457083.779000,0.003000,-0.003000,0,38.630000,,,0,0.03500,0.00100,-0.00100,0,2.590,0.170,-0.150,0,,,,,12.034,,0,9.496,0.017,0
680,EPIC 210558622,EPIC 210558622.01,K2-174 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,4,0,04h03m10.28s,60.792843,+16d20m50.8s,16.347446,19.56400000,0.00140000,-0.00140000,0,2457083.779300,0.001400,-0.001400,0,,,,,0.03490,0.00150,-0.00150,0,2.590,0.230,-0.230,0,0.67,0.05,-0.05,0,12.034,,0,9.496,0.017,0
681,EPIC 210558622,EPIC 210558622.01,K2-174 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,4,0,04h03m10.28s,60.792843,+16d20m50.8s,16.347446,19.56614010,,,0,2457064.206931,,,0,,,,,,,,,,,,,,,,,12.034,,0,9.496,0.017,0
682,EPIC 210559259,EPIC 210559259.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,4,1,03h57m54.20s,59.475853,+16d21m27.7s,16.357698,14.27669647,,,0,2457063.408740,,,0,,,,,,,,,,,,,,,,,13.699,,0,11.323,0.017,0
683,EPIC 210564155,EPIC 210564155.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CANDIDATE,,4,1,04h01m51.20s,60.463333,+16d25m59.9s,16.433319,4.86406000,0.00028000,-0.00028000,0,2457096.759000,0.001000,-0.001000,0,27.350000,,,0,0.03500,0.00200,-0.00200,0,1.090,0.130,-0.130,0,,,,,14.595,,0,10.993,0.018,0
684,EPIC 210576234,EPIC 210576234.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,4,1,03h35m05.42s,53.772568,+16d36m55.3s,16.615370,15.97700259,,,0,2457071.678859,,,0,,,,,,,,,,,,,,,,,11.603,,0,9.734,0.017,0
685,EPIC 210577548,EPIC 210577548.01,K2-84 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,4,1,03h43m14.23s,55.809273,+16d38m04.4s,16.634548,6.42150000,0.00056000,-0.00056000,0,2457071.421200,0.002700,-0.002700,0,,,,,0.02340,0.00170,-0.00170,0,2.410,0.350,-0.350,0,0.93,0.12,-0.12,0,13.138,,0,11.059,0.020,0
686,EPIC 210577548,EPIC 210577548.02,K2-84 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,4,1,03h43m14.23s,55.809273,+16d38m04.4s,16.634548,27.86000000,0.00520000,-0.00520000,0,2457068.615000,0.078000,-0.078000,0,,,,,0.01980,0.00170,-0.00170,0,2.030,0.320,-0.320,0,0.93,0.12,-0.12,0,13.138,,0,11.059,0.020,0
687,EPIC 210598340,EPIC 210598340.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,4,1,03h47m28.49s,56.868729,+16d56m29.9s,16.941629,3.73478175,,,0,2457063.087439,,,0,,,,,,,,,,,,,,,,,12.537,,0,10.876,0.020,0
688,EPIC 210605073,EPIC 210605073.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,,4,1,04h22m29.59s,65.623291,+17d02m16.3s,17.037874,0.56705500,0.00014500,-0.00014500,0,2457127.436510,0.000560,-0.000560,0,5.700000,0.700000,-1.300000,0,0.10470,0.00700,-0.00400,0,16.220,6.260,-6.260,0,1.42,0.54,-0.54,0,17.887,,0,,,
689,EPIC 210609658,EPIC 210609658.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,4,0,03h42m52.04s,55.716835,+17d06m05.4s,17.101500,14.14459000,0.00094000,-0.00094000,0,2457074.413900,0.002400,-0.002400,0,,,,,0.05710,0.00520,-0.00520,0,16.600,2.000,-2.000,0,2.69,0.20,-0.20,0,12.587,,0,10.079,0.018,0
690,EPIC 210609658,EPIC 210609658.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,4,1,03h42m52.04s,55.716835,+17d06m05.4s,17.101500,14.14523900,0.00044500,-0.00046800,0,2457074.405560,0.001149,-0.001113,0,8.065367,0.749367,-0.509296,0,0.06327,0.00153,-0.00188,0,14.864,1.813,-1.516,0,2.15,0.26,-0.21,0,12.587,,0,10.079,0.018,0
691,EPIC 210625740,EPIC 210625740.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,4,1,04h04m00.46s,61.001930,+17d19m41.5s,17.328197,2.38669000,0.00013000,-0.00013000,0,2457065.081800,0.002500,-0.002500,0,,,,,0.11000,0.01200,-0.01200,0,3.500,2.400,-2.400,0,0.29,0.18,-0.18,0,16.942,,0,13.884,0.057,0
692,EPIC 210629082,EPIC 210629082.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,4,1,03h49m04.07s,57.266960,+17d22m31.9s,17.375540,27.35310300,0.00729000,-0.00747200,0,2457086.014870,0.005137,-0.005169,0,25.741857,3.143593,-8.022841,0,0.01931,0.00293,-0.00123,0,3.050,0.693,-0.428,0,1.45,0.25,-0.18,0,11.580,,0,9.817,0.019,0
693,EPIC 210643811,EPIC 210643811.01,K2-175 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,4,1,03h30m00.86s,52.503578,+17d35m03.1s,17.584192,9.52598800,0.00124100,-0.00128000,0,2457073.276840,0.004524,-0.004408,0,11.060886,1.347716,-2.982394,0,0.01316,0.00127,-0.00068,0,2.038,0.355,-0.271,0,1.42,0.21,-0.17,0,10.632,,0,9.195,0.022,0
694,EPIC 210659688,EPIC 210659688.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,4,1,03h42m19.31s,55.580479,+17d48m02.4s,17.800665,2.35771000,0.00011000,-0.00011000,0,2457065.020700,0.001600,-0.001600,0,,,,,0.10400,0.05500,-0.05500,0,3.000,1.800,-1.800,0,0.27,0.05,-0.05,0,16.499,,0,12.694,0.029,0
695,EPIC 210666756,EPIC 210666756.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,4,0,03h53m44.60s,58.435825,+17d53m55.9s,17.898865,1.39629100,0.00008200,-0.00008200,0,2457066.186200,0.002200,-0.002200,0,,,,,0.01670,0.00150,-0.00150,0,1.890,0.440,-0.440,0,1.02,0.22,-0.22,0,12.735,,0,,,
696,EPIC 210666756,EPIC 210666756.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,4,1,03h53m44.60s,58.435825,+17d53m55.9s,17.898865,1.39657671,,,0,2457061.988140,,,0,,,,,,,,,,,,,,,,,12.735,,0,,,
697,EPIC 210667381,EPIC 210667381.01,K2-176 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,4,1,03h53m04.60s,58.269165,+17d54m25.5s,17.907072,5.32943900,0.00061000,-0.00070900,0,2457066.785930,0.003736,-0.003763,0,13.810807,2.009322,-4.369454,0,0.01582,0.00117,-0.00091,0,1.491,0.123,-0.093,0,0.86,0.03,-0.02,0,12.674,,0,10.726,0.020,0
698,EPIC 210696763,EPIC 210696763.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,4,1,03h31m20.30s,52.834602,+18d18m58.4s,18.316229,3.64940000,,,0,2457061.511110,,,0,,,,,,,,,,,,,,,,,15.468,,0,11.715,0.018,0
699,EPIC 210696763,EPIC 210696763.03,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,4,1,03h31m20.30s,52.834602,+18d18m58.4s,18.316229,7.98221000,,,0,2457059.963260,,,0,,,,,,,,,,,,,,,,,15.468,,0,11.715,0.018,0
700,EPIC 210696763,EPIC 210696763.02,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,4,1,03h31m20.30s,52.834602,+18d18m58.4s,18.316229,5.76630000,,,0,2457062.461720,,,0,,,,,,,,,,,,,,,,,15.468,,0,11.715,0.018,0
701,EPIC 210707130,EPIC 210707130.01,K2-85 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,4,0,03h57m51.45s,59.464394,+18d27m54.9s,18.465254,0.68458757,,,0,2457061.942054,,,0,,,,,,,,,,,,,,,,,12.099,,0,9.466,0.018,0
702,EPIC 210707130,EPIC 210707130.01,K2-85 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,4,0,03h57m51.45s,59.464394,+18d27m54.9s,18.465254,0.68456000,0.00002000,-0.00002000,0,2457065.367000,0.001000,-0.001000,0,4.300000,,,0,0.01900,0.00100,-0.00100,0,1.390,0.100,-0.120,0,,,,,12.099,,0,9.466,0.018,0
703,EPIC 210707130,EPIC 210707130.01,K2-85 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,4,0,03h57m51.45s,59.464394,+18d27m54.9s,18.465254,0.68453300,0.00001800,-0.00001800,0,2457065.368460,0.000940,-0.000940,0,,,,,0.01790,0.00150,-0.00150,0,1.010,0.120,-0.120,0,0.51,0.04,-0.04,0,12.099,,0,9.466,0.018,0
704,EPIC 210707130,EPIC 210707130.01,K2-85 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CONFIRMED,,4,0,03h57m51.45s,59.464394,+18d27m54.9s,18.465254,0.68457500,0.00014300,-0.00014300,0,2457077.688070,0.000630,-0.000520,0,6.200000,0.700000,-1.600000,0,0.01810,0.00200,-0.00100,0,1.400,0.200,-0.200,0,0.71,0.05,-0.05,0,12.099,,0,9.466,0.018,0
705,EPIC 210707130,EPIC 210707130.01,K2-85 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,4,1,03h57m51.45s,59.464394,+18d27m54.9s,18.465254,0.68455300,0.00001300,-0.00001300,0,2457064.682190,0.000740,-0.000725,0,5.658054,0.735126,-1.489957,0,0.01808,0.00144,-0.00096,0,1.276,0.108,-0.077,0,0.65,0.02,-0.02,0,12.099,,0,9.466,0.018,0
706,EPIC 210718708,EPIC 210718708.01,K2-86 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,4,0,03h26m12.67s,51.552799,+18d38m08.2s,18.635616,8.77683000,0.00098000,-0.00098000,0,2457070.017300,0.003600,-0.003600,0,,,,,0.02340,0.00160,-0.00160,0,1.960,0.270,-0.270,0,0.76,0.09,-0.09,0,12.801,,0,10.927,0.019,0
707,EPIC 210718708,EPIC 210718708.01,K2-86 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,4,1,03h26m12.67s,51.552799,+18d38m08.2s,18.635616,8.77586400,0.00090000,-0.00088600,0,2457070.016940,0.003452,-0.003519,0,20.291014,3.419452,-7.193020,0,0.02508,0.00313,-0.00170,0,1.975,0.264,-0.151,0,0.72,0.03,-0.02,0,12.801,,0,10.927,0.019,0
708,EPIC 210731500,EPIC 210731500.01,K2-87 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,4,1,04h24m56.69s,66.236221,+18d49m38.7s,18.827417,9.72739000,0.00087000,-0.00087000,0,2457072.301200,0.003400,-0.003400,0,,,,,0.04410,0.00320,-0.00320,0,4.600,1.500,-1.500,0,0.93,0.29,-0.29,0,13.691,,0,11.197,0.019,0
709,EPIC 210736056,EPIC 210736056.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,4,1,03h37m35.45s,54.397720,+18d53m47.1s,18.896429,29.05290000,,,0,2457044.194730,,,0,,,,,,,,,,,,,,,,,15.650,,0,12.666,0.026,0
710,EPIC 210744674,EPIC 210744674.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,4,1,04h23m26.16s,65.859016,+19d01m39.0s,19.027494,25.20778830,,,0,2457065.929742,,,0,,,,,,,,,,,,,,,,,12.894,,0,10.548,0.018,0
711,EPIC 210744674,EPIC 210744674.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,4,0,04h23m26.16s,65.859016,+19d01m39.0s,19.027494,25.22080000,0.00019000,-0.00019000,0,2457065.920250,0.000180,-0.000180,0,,,,,0.43000,0.15000,-0.15000,0,65.000,26.000,-26.000,0,1.41,0.27,-0.27,0,12.894,,0,10.548,0.018,0
